Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Eye L/R	AOI Name	Entry Time [ms]	Sequence	Fixation Count	Fixation Time [ms]	Average Fixation Duration [ms]
Trial021	Lean_Dyad2_NA_Soc_Con_NA_.avi	0.0	11202.5	01	DarkCyan	Right	Social Interaction	-	-	0.0	0.0	0.0
Trial021	Lean_Dyad2_NA_Soc_Con_NA_.avi	0.0	11202.5	01	DarkCyan	Left	Social Interaction	1400.2	1	16.0	4887.5	305.5
Trial021	Lean_Dyad2_NA_Soc_Con_NA_.avi	0.0	11202.5	01	DarkCyan	Right	Control	7191.6	1	4.0	1428.2	357.1
Trial021	Lean_Dyad2_NA_Soc_Con_NA_.avi	0.0	11202.5	01	DarkCyan	Left	Control	7459.9	2	1.0	184.2	184.2
Trial011	Hand_Dyad3_NA_Soc_Con_NA_.avi	0.0	12232.1	01	DarkCyan	Right	Social Interaction	-	-	0.0	0.0	0.0
Trial011	Hand_Dyad3_NA_Soc_Con_NA_.avi	0.0	12232.1	01	DarkCyan	Left	Social Interaction	523.5	1	20.0	6207.5	310.4
Trial011	Hand_Dyad3_NA_Soc_Con_NA_.avi	0.0	12232.1	01	DarkCyan	Right	Control	-	-	0.0	0.0	0.0
Trial011	Hand_Dyad3_NA_Soc_Con_NA_.avi	0.0	12232.1	01	DarkCyan	Left	Control	-	-	0.0	0.0	0.0
Trial029	Hand_Dyad2_Soc_NA_NA_Con_.avi	0.0	12199.0	01	DarkCyan	Right	Control	1649.7	1	18.0	4527.7	251.5
Trial029	Hand_Dyad2_Soc_NA_NA_Con_.avi	0.0	12199.0	01	DarkCyan	Left	Control	1797.6	1	10.0	1687.5	168.8
Trial029	Hand_Dyad2_Soc_NA_NA_Con_.avi	0.0	12199.0	01	DarkCyan	Right	Social Interaction	5189.4	2	4.0	544.0	136.0
Trial029	Hand_Dyad2_Soc_NA_NA_Con_.avi	0.0	12199.0	01	DarkCyan	Left	Social Interaction	5101.5	2	9.0	1627.6	180.8
Trial017	Lean_Dyad1_Soc_NA_NA_Con_.avi	0.0	11241.2	01	DarkCyan	Right	Control	1783.5	2	10.0	4452.2	445.2
Trial017	Lean_Dyad1_Soc_NA_NA_Con_.avi	0.0	11241.2	01	DarkCyan	Left	Control	1755.6	2	7.0	1383.8	197.7
Trial017	Lean_Dyad1_Soc_NA_NA_Con_.avi	0.0	11241.2	01	DarkCyan	Right	Social Interaction	1119.7	1	1.0	179.9	179.9
Trial017	Lean_Dyad1_Soc_NA_NA_Con_.avi	0.0	11241.2	01	DarkCyan	Left	Social Interaction	863.6	1	1.0	88.0	88.0
Trial007	Hand_Dyad4_NA_Con_Soc_NA_.avi	0.0	12225.5	01	DarkCyan	Right	Control	-	-	0.0	0.0	0.0
Trial007	Hand_Dyad4_NA_Con_Soc_NA_.avi	0.0	12225.5	01	DarkCyan	Left	Control	575.5	1	20.0	9246.7	462.3
Trial007	Hand_Dyad4_NA_Con_Soc_NA_.avi	0.0	12225.5	01	DarkCyan	Right	Social Interaction	-	-	0.0	0.0	0.0
Trial007	Hand_Dyad4_NA_Con_Soc_NA_.avi	0.0	12225.5	01	DarkCyan	Left	Social Interaction	-	-	0.0	0.0	0.0
Trial025	Lean_Dyad4_Con_NA_NA_Soc_.avi	0.0	11149.7	01	DarkCyan	Right	Social Interaction	1687.0	2	14.0	5315.7	379.7
