Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Eye L/R	AOI Name	Entry Time [ms]	Sequence	Fixation Count	Fixation Time [ms]	Average Fixation Duration [ms]
Trial013	Lean_Dyad2_NA_Soc_Con_NA_.avi	0.0	11191.8	255006	DarkViolet	Right	Social Interaction	2151.2	2	13.0	7355.6	565.8
Trial013	Lean_Dyad2_NA_Soc_Con_NA_.avi	0.0	11191.8	255006	DarkViolet	Left	Social Interaction	2155.2	2	16.0	7335.6	458.5
Trial013	Lean_Dyad2_NA_Soc_Con_NA_.avi	0.0	11191.8	255006	DarkViolet	Right	Control	623.1	1	3.0	483.8	161.3
Trial013	Lean_Dyad2_NA_Soc_Con_NA_.avi	0.0	11191.8	255006	DarkViolet	Left	Control	619.1	1	2.0	455.8	227.9
Trial011	Hand_Dyad3_NA_Soc_Con_NA_.avi	0.0	12217.8	255006	DarkViolet	Right	Social Interaction	830.3	2	25.0	8347.4	333.9
Trial011	Hand_Dyad3_NA_Soc_Con_NA_.avi	0.0	12217.8	255006	DarkViolet	Left	Social Interaction	830.3	2	21.0	7279.4	346.6
Trial011	Hand_Dyad3_NA_Soc_Con_NA_.avi	0.0	12217.8	255006	DarkViolet	Right	Control	406.4	1	1.0	340.0	340.0
Trial011	Hand_Dyad3_NA_Soc_Con_NA_.avi	0.0	12217.8	255006	DarkViolet	Left	Control	406.4	1	1.0	344.0	344.0
Trial017	Hand_Dyad2_Soc_NA_NA_Con_.avi	0.0	12218.2	255006	DarkViolet	Right	Control	8915.5	2	8.0	3143.8	393.0
Trial017	Hand_Dyad2_Soc_NA_NA_Con_.avi	0.0	12218.2	255006	DarkViolet	Left	Control	8899.5	2	12.0	3167.8	264.0
Trial017	Hand_Dyad2_Soc_NA_NA_Con_.avi	0.0	12218.2	255006	DarkViolet	Right	Social Interaction	320.2	1	14.0	4419.7	315.7
Trial017	Hand_Dyad2_Soc_NA_NA_Con_.avi	0.0	12218.2	255006	DarkViolet	Left	Social Interaction	320.2	1	13.0	4159.7	320.0
Trial025	Lean_Dyad1_Soc_NA_NA_Con_.avi	0.0	11175.8	255006	DarkViolet	Right	Control	3648.6	2	9.0	3096.8	344.1
Trial025	Lean_Dyad1_Soc_NA_NA_Con_.avi	0.0	11175.8	255006	DarkViolet	Left	Control	3768.5	2	10.0	2908.5	290.9
Trial025	Lean_Dyad1_Soc_NA_NA_Con_.avi	0.0	11175.8	255006	DarkViolet	Right	Social Interaction	324.7	1	8.0	2280.1	285.0
Trial025	Lean_Dyad1_Soc_NA_NA_Con_.avi	0.0	11175.8	255006	DarkViolet	Left	Social Interaction	320.8	1	11.0	2276.1	206.9
Trial023	Hand_Dyad4_NA_Con_Soc_NA_.avi	0.0	12190.7	255006	DarkViolet	Right	Control	503.3	1	10.0	5275.3	527.5
