Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Eye L/R	AOI Name	Entry Time [ms]	Sequence	Fixation Count	Fixation Time [ms]	Average Fixation Duration [ms]
Trial023	Lean_Dyad2_NA_Soc_Con_NA_.avi	0.0	11255.6	255394	DarkKhaki	Right	Social Interaction	-	-	0.0	0.0	0.0
Trial023	Lean_Dyad2_NA_Soc_Con_NA_.avi	0.0	11255.6	255394	DarkKhaki	Left	Social Interaction	-	-	0.0	0.0	0.0
Trial023	Lean_Dyad2_NA_Soc_Con_NA_.avi	0.0	11255.6	255394	DarkKhaki	Right	Control	1718.1	1	27.0	6349.1	235.2
Trial023	Lean_Dyad2_NA_Soc_Con_NA_.avi	0.0	11255.6	255394	DarkKhaki	Left	Control	1714.1	1	21.0	6624.9	315.5
Trial021	Hand_Dyad3_NA_Soc_Con_NA_.avi	0.0	12226.9	255394	DarkKhaki	Right	Social Interaction	216.7	1	6.0	1861.1	310.2
Trial021	Hand_Dyad3_NA_Soc_Con_NA_.avi	0.0	12226.9	255394	DarkKhaki	Left	Social Interaction	220.7	1	5.0	1909.1	381.8
Trial021	Hand_Dyad3_NA_Soc_Con_NA_.avi	0.0	12226.9	255394	DarkKhaki	Right	Control	1993.8	2	19.0	3826.7	201.4
Trial021	Hand_Dyad3_NA_Soc_Con_NA_.avi	0.0	12226.9	255394	DarkKhaki	Left	Control	2025.9	2	15.0	4146.9	276.5
Trial015	Hand_Dyad2_Soc_NA_NA_Con_.avi	0.0	12176.0	255394	DarkKhaki	Right	Control	388.8	1	28.0	10819.2	386.4
Trial015	Hand_Dyad2_Soc_NA_NA_Con_.avi	0.0	12176.0	255394	DarkKhaki	Left	Control	388.8	1	26.0	10671.1	410.4
Trial015	Hand_Dyad2_Soc_NA_NA_Con_.avi	0.0	12176.0	255394	DarkKhaki	Right	Social Interaction	-	-	0.0	0.0	0.0
Trial015	Hand_Dyad2_Soc_NA_NA_Con_.avi	0.0	12176.0	255394	DarkKhaki	Left	Social Interaction	-	-	0.0	0.0	0.0
Trial027	Lean_Dyad1_Soc_NA_NA_Con_.avi	0.0	11166.4	255394	DarkKhaki	Right	Control	370.0	1	9.0	2451.8	272.4
Trial027	Lean_Dyad1_Soc_NA_NA_Con_.avi	0.0	11166.4	255394	DarkKhaki	Left	Control	370.0	1	7.0	2451.8	350.3
Trial027	Lean_Dyad1_Soc_NA_NA_Con_.avi	0.0	11166.4	255394	DarkKhaki	Right	Social Interaction	1318.0	2	16.0	3267.9	204.2
Trial027	Lean_Dyad1_Soc_NA_NA_Con_.avi	0.0	11166.4	255394	DarkKhaki	Left	Social Interaction	1314.0	2	18.0	2895.9	160.9
Trial019	Hand_Dyad4_NA_Con_Soc_NA_.avi	0.0	12221.9	255394	DarkKhaki	Right	Control	9002.5	2	9.0	3131.6	348.0
Trial019	Hand_Dyad4_NA_Con_Soc_NA_.avi	0.0	12221.9	255394	DarkKhaki	Left	Control	8994.5	2	8.0	3079.7	385.0
Trial019	Hand_Dyad4_NA_Con_Soc_NA_.avi	0.0	12221.9	255394	DarkKhaki	Right	Social Interaction	395.0	1	15.0	8299.3	553.3
