Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Eye L/R	AOI Name	Entry Time [ms]	Sequence	Fixation Count	Fixation Time [ms]	Average Fixation Duration [ms]
Trial027	Lean_Dyad2_NA_Soc_Con_NA_.avi	0.0	11163.7	256466	LawnGreen	Right	Social Interaction	-	-	0.0	0.0	0.0
Trial027	Lean_Dyad2_NA_Soc_Con_NA_.avi	0.0	11163.7	256466	LawnGreen	Left	Social Interaction	-	-	0.0	0.0	0.0
Trial027	Lean_Dyad2_NA_Soc_Con_NA_.avi	0.0	11163.7	256466	LawnGreen	Right	Control	1017.3	1	1.0	80.0	80.0
Trial027	Lean_Dyad2_NA_Soc_Con_NA_.avi	0.0	11163.7	256466	LawnGreen	Left	Control	-	-	0.0	0.0	0.0
Trial013	Hand_Dyad3_NA_Soc_Con_NA_.avi	0.0	12167.7	256466	LawnGreen	Right	Social Interaction	-	-	0.0	0.0	0.0
Trial013	Hand_Dyad3_NA_Soc_Con_NA_.avi	0.0	12167.7	256466	LawnGreen	Left	Social Interaction	7375.0	2	1.0	92.0	92.0
Trial013	Hand_Dyad3_NA_Soc_Con_NA_.avi	0.0	12167.7	256466	LawnGreen	Right	Control	3051.4	1	5.0	703.9	140.8
Trial013	Hand_Dyad3_NA_Soc_Con_NA_.avi	0.0	12167.7	256466	LawnGreen	Left	Control	3183.4	1	11.0	1459.6	132.7
Trial019	Hand_Dyad2_Soc_NA_NA_Con_.avi	0.0	12155.9	256466	LawnGreen	Right	Control	-	-	0.0	0.0	0.0
Trial019	Hand_Dyad2_Soc_NA_NA_Con_.avi	0.0	12155.9	256466	LawnGreen	Left	Control	-	-	0.0	0.0	0.0
Trial019	Hand_Dyad2_Soc_NA_NA_Con_.avi	0.0	12155.9	256466	LawnGreen	Right	Social Interaction	1406.4	1	22.0	3688.0	167.6
Trial019	Hand_Dyad2_Soc_NA_NA_Con_.avi	0.0	12155.9	256466	LawnGreen	Left	Social Interaction	1162.5	1	27.0	4807.6	178.1
Trial021	Lean_Dyad1_Soc_NA_NA_Con_.avi	0.0	11148.3	256466	LawnGreen	Right	Control	5806.8	1	7.0	1920.7	274.4
Trial021	Lean_Dyad1_Soc_NA_NA_Con_.avi	0.0	11148.3	256466	LawnGreen	Left	Control	5937.9	1	11.0	1665.5	151.4
