Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Eye L/R	AOI Name	Entry Time [ms]	Sequence	Fixation Count	Fixation Time [ms]	Average Fixation Duration [ms]
Trial009	Lean_Dyad2_NA_Soc_Con_NA_.avi	0.0	11210.8	255002	Firebrick	Right	Social Interaction	393.5	1	17.0	7073.8	416.1
Trial009	Lean_Dyad2_NA_Soc_Con_NA_.avi	0.0	11210.8	255002	Firebrick	Left	Social Interaction	397.5	1	21.0	7018.0	334.2
Trial009	Lean_Dyad2_NA_Soc_Con_NA_.avi	0.0	11210.8	255002	Firebrick	Right	Control	4453.1	2	8.0	1961.5	245.2
Trial009	Lean_Dyad2_NA_Soc_Con_NA_.avi	0.0	11210.8	255002	Firebrick	Left	Control	4473.1	2	8.0	1981.5	247.7
Trial013	Hand_Dyad3_NA_Soc_Con_NA_.avi	0.0	12229.5	255002	Firebrick	Right	Social Interaction	391.0	1	12.0	6731.5	561.0
Trial013	Hand_Dyad3_NA_Soc_Con_NA_.avi	0.0	12229.5	255002	Firebrick	Left	Social Interaction	391.0	1	14.0	6775.5	484.0
Trial013	Hand_Dyad3_NA_Soc_Con_NA_.avi	0.0	12229.5	255002	Firebrick	Right	Control	3890.8	2	4.0	1168.0	292.0
Trial013	Hand_Dyad3_NA_Soc_Con_NA_.avi	0.0	12229.5	255002	Firebrick	Left	Control	3906.8	2	4.0	1152.1	288.0
Trial025	Hand_Dyad2_Soc_NA_NA_Con_.avi	0.0	12195.9	255002	Firebrick	Right	Control	6969.5	2	13.0	2939.9	226.1
Trial025	Hand_Dyad2_Soc_NA_NA_Con_.avi	0.0	12195.9	255002	Firebrick	Left	Control	6957.6	2	9.0	2999.8	333.3
Trial025	Hand_Dyad2_Soc_NA_NA_Con_.avi	0.0	12195.9	255002	Firebrick	Right	Social Interaction	373.8	1	7.0	5651.9	807.4
Trial025	Hand_Dyad2_Soc_NA_NA_Con_.avi	0.0	12195.9	255002	Firebrick	Left	Social Interaction	365.8	1	10.0	5651.9	565.2
Trial027	Lean_Dyad1_Soc_NA_NA_Con_.avi	0.0	11251.4	255002	Firebrick	Right	Control	7503.3	2	4.0	1308.2	327.0
