Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Eye L/R	AOI Name	Entry Time [ms]	Sequence	Fixation Count	Fixation Time [ms]	Average Fixation Duration [ms]
Trial011	Lean_Dyad2_NA_Soc_Con_NA_.avi	0.0	11191.8	257391	MediumBlue	Right	Social Interaction	2039.2	2	16.0	4623.4	289.0
Trial011	Lean_Dyad2_NA_Soc_Con_NA_.avi	0.0	11191.8	257391	MediumBlue	Left	Social Interaction	1987.3	2	16.0	4655.6	291.0
Trial011	Lean_Dyad2_NA_Soc_Con_NA_.avi	0.0	11191.8	257391	MediumBlue	Right	Control	306.8	1	6.0	1028.4	171.4
Trial011	Lean_Dyad2_NA_Soc_Con_NA_.avi	0.0	11191.8	257391	MediumBlue	Left	Control	310.8	1	6.0	1084.4	180.7
Trial013	Hand_Dyad3_NA_Soc_Con_NA_.avi	0.0	12175.5	257391	MediumBlue	Right	Social Interaction	1886.5	2	24.0	7207.6	300.3
Trial013	Hand_Dyad3_NA_Soc_Con_NA_.avi	0.0	12175.5	257391	MediumBlue	Left	Social Interaction	1890.5	2	20.0	7311.5	365.6
Trial013	Hand_Dyad3_NA_Soc_Con_NA_.avi	0.0	12175.5	257391	MediumBlue	Right	Control	462.6	1	9.0	2112.1	234.7
Trial013	Hand_Dyad3_NA_Soc_Con_NA_.avi	0.0	12175.5	257391	MediumBlue	Left	Control	410.6	1	10.0	2535.8	253.6
Trial027	Hand_Dyad2_Soc_NA_NA_Con_.avi	0.0	12155.3	257391	MediumBlue	Right	Control	-	-	0.0	0.0	0.0
Trial027	Hand_Dyad2_Soc_NA_NA_Con_.avi	0.0	12155.3	257391	MediumBlue	Left	Control	-	-	0.0	0.0	0.0
Trial027	Hand_Dyad2_Soc_NA_NA_Con_.avi	0.0	12155.3	257391	MediumBlue	Right	Social Interaction	512.7	1	17.0	4851.3	285.4
Trial027	Hand_Dyad2_Soc_NA_NA_Con_.avi	0.0	12155.3	257391	MediumBlue	Left	Social Interaction	280.8	1	22.0	5647.3	256.7
Trial019	Lean_Dyad1_Soc_NA_NA_Con_.avi	0.0	11237.1	257391	MediumBlue	Right	Control	3651.1	2	10.0	2380.8	238.1
Trial019	Lean_Dyad1_Soc_NA_NA_Con_.avi	0.0	11237.1	257391	MediumBlue	Left	Control	3803.2	2	10.0	1783.0	178.3
Trial019	Lean_Dyad1_Soc_NA_NA_Con_.avi	0.0	11237.1	257391	MediumBlue	Right	Social Interaction	763.4	1	9.0	2012.6	223.6
Trial019	Lean_Dyad1_Soc_NA_NA_Con_.avi	0.0	11237.1	257391	MediumBlue	Left	Social Interaction	595.4	1	8.0	1456.9	182.1
Trial029	Hand_Dyad4_NA_Con_Soc_NA_.avi	0.0	12237.4	257391	MediumBlue	Right	Control	391.9	1	18.0	5347.2	297.1
Trial029	Hand_Dyad4_NA_Con_Soc_NA_.avi	0.0	12237.4	257391	MediumBlue	Left	Control	395.9	1	12.0	5219.3	434.9
Trial029	Hand_Dyad4_NA_Con_Soc_NA_.avi	0.0	12237.4	257391	MediumBlue	Right	Social Interaction	10964.8	2	3.0	839.3	279.8
Trial029	Hand_Dyad4_NA_Con_Soc_NA_.avi	0.0	12237.4	257391	MediumBlue	Left	Social Interaction	10908.3	2	7.0	1184.9	169.3
