Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Eye L/R	AOI Name	Entry Time [ms]	Sequence	Fixation Count	Fixation Time [ms]	Average Fixation Duration [ms]
Trial021	Lean_Dyad2_NA_Soc_Con_NA_.avi	0.0	11176.6	257125	LightSeaGreen	Right	Social Interaction	-	-	0.0	0.0	0.0
Trial021	Lean_Dyad2_NA_Soc_Con_NA_.avi	0.0	11176.6	257125	LightSeaGreen	Left	Social Interaction	-	-	0.0	0.0	0.0
Trial021	Lean_Dyad2_NA_Soc_Con_NA_.avi	0.0	11176.6	257125	LightSeaGreen	Right	Control	-	-	0.0	0.0	0.0
Trial021	Lean_Dyad2_NA_Soc_Con_NA_.avi	0.0	11176.6	257125	LightSeaGreen	Left	Control	4933.6	1	3.0	410.9	137.0
Trial023	Hand_Dyad3_NA_Soc_Con_NA_.avi	0.0	12160.9	257125	LightSeaGreen	Right	Social Interaction	-	-	0.0	0.0	0.0
Trial023	Hand_Dyad3_NA_Soc_Con_NA_.avi	0.0	12160.9	257125	LightSeaGreen	Left	Social Interaction	6712.0	2	3.0	572.3	190.8
Trial023	Hand_Dyad3_NA_Soc_Con_NA_.avi	0.0	12160.9	257125	LightSeaGreen	Right	Control	1920.7	1	7.0	1295.8	185.1
Trial023	Hand_Dyad3_NA_Soc_Con_NA_.avi	0.0	12160.9	257125	LightSeaGreen	Left	Control	1046.5	1	10.0	2092.4	209.2
Trial029	Hand_Dyad2_Soc_NA_NA_Con_.avi	0.0	12177.5	257125	LightSeaGreen	Right	Control	2732.0	2	7.0	963.2	137.6
Trial029	Hand_Dyad2_Soc_NA_NA_Con_.avi	0.0	12177.5	257125	LightSeaGreen	Left	Control	2732.0	2	13.0	2562.7	197.1
Trial029	Hand_Dyad2_Soc_NA_NA_Con_.avi	0.0	12177.5	257125	LightSeaGreen	Right	Social Interaction	996.2	1	2.0	259.9	129.9
