Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Eye L/R	AOI Name	Entry Time [ms]	Sequence	Fixation Count	Fixation Time [ms]	Average Fixation Duration [ms]
Trial027	Lean_Dyad2_NA_Soc_Con_NA_.avi	0.0	11201.2	255657	DeepSkyBlue	Right	Social Interaction	-	-	0.0	0.0	0.0
Trial027	Lean_Dyad2_NA_Soc_Con_NA_.avi	0.0	11201.2	255657	DeepSkyBlue	Left	Social Interaction	-	-	0.0	0.0	0.0
Trial027	Lean_Dyad2_NA_Soc_Con_NA_.avi	0.0	11201.2	255657	DeepSkyBlue	Right	Control	549.0	1	14.0	2446.0	174.7
Trial027	Lean_Dyad2_NA_Soc_Con_NA_.avi	0.0	11201.2	255657	DeepSkyBlue	Left	Control	1373.0	1	11.0	2863.4	260.3
Trial011	Hand_Dyad3_NA_Soc_Con_NA_.avi	0.0	12202.0	255657	DeepSkyBlue	Right	Social Interaction	997.2	2	6.0	664.0	110.7
Trial011	Hand_Dyad3_NA_Soc_Con_NA_.avi	0.0	12202.0	255657	DeepSkyBlue	Left	Social Interaction	11488.5	2	4.0	411.9	103.0
Trial011	Hand_Dyad3_NA_Soc_Con_NA_.avi	0.0	12202.0	255657	DeepSkyBlue	Right	Control	417.5	1	11.0	2987.2	271.6
Trial011	Hand_Dyad3_NA_Soc_Con_NA_.avi	0.0	12202.0	255657	DeepSkyBlue	Left	Control	4477.0	1	8.0	4148.5	518.6
Trial015	Hand_Dyad2_Soc_NA_NA_Con_.avi	0.0	12162.6	255657	DeepSkyBlue	Right	Control	2055.8	1	1.0	120.0	120.0
Trial015	Hand_Dyad2_Soc_NA_NA_Con_.avi	0.0	12162.6	255657	DeepSkyBlue	Left	Control	-	-	0.0	0.0	0.0
Trial015	Hand_Dyad2_Soc_NA_NA_Con_.avi	0.0	12162.6	255657	DeepSkyBlue	Right	Social Interaction	5384.2	2	2.0	215.8	107.9
Trial015	Hand_Dyad2_Soc_NA_NA_Con_.avi	0.0	12162.6	255657	DeepSkyBlue	Left	Social Interaction	3980.2	1	4.0	516.0	129.0
Trial017	Lean_Dyad1_Soc_NA_NA_Con_.avi	0.0	11190.5	255657	DeepSkyBlue	Right	Control	2041.1	1	2.0	916.0	458.0
