"Stimulus"	"AOI.Name"	"Fixation.Time..ms."	"relSocialFixTime"	"ParentIndex"	"AgeGroup"	"Sex"	"ID"	"Trials"
"Lean_Dyad2_NA_Soc_Con_NA_.avi"	"Social Interaction"	1753.5	0.826537827009192	1	"2"	"F"	1	1
"Hand_Dyad3_NA_Soc_Con_NA_.avi"	"Social Interaction"	1849.5	0.666702714393858	5	"2"	"F"	1	2
"Hand_Dyad2_Soc_NA_NA_Con_.avi"	"Social Interaction"	574.35	0.392087927091511	9	"2"	"F"	1	3
"Lean_Dyad1_Soc_NA_NA_Con_.avi"	"Social Interaction"	1720.5	0.364497267064955	13	"2"	"F"	1	4
"Hand_Dyad4_NA_Con_Soc_NA_.avi"	"Social Interaction"	1489.9	0.249065940036276	17	"2"	"F"	1	5
"Lean_Dyad4_Con_NA_NA_Soc_.avi"	"Social Interaction"	1701.9	0.761936740312941	21	"2"	"F"	1	6
"Clap_Dyad3_Soc_NA_NA_Con_.avi"	"Social Interaction"	1722.4	1	25	"2"	"F"	1	7
"Hand_Dyad1_Con_NA_NA_Soc_.avi"	"Social Interaction"	1235.75	0.560189487522383	29	"2"	"F"	1	8
"Clap_Dyad2_Con_NA_NA_Soc_.avi"	"Social Interaction"	1100.1	0.524369026907219	33	"2"	"F"	1	9
"Lean_Dyad3_NA_Con_Soc_NA_.avi"	"Social Interaction"	1272.4	0.559198382701943	37	"2"	"F"	1	10
"Clap_Dyad4_NA_Soc_Con_NA_.avi"	"Social Interaction"	980.5	0.241955384463528	41	"2"	"F"	1	11
"Clap_Dyad1_NA_Con_Soc_NA_.avi"	"Social Interaction"	2179.35	0.683031936565644	45	"2"	"F"	1	12
"Lean_Dyad2_NA_Soc_Con_NA_.avi"	"Social Interaction"	985.3	0.305509906669561	1	"1"	"F"	2	1
"Hand_Dyad3_NA_Soc_Con_NA_.avi"	"Social Interaction"	614	0.1414257745019	5	"1"	"F"	2	2
"Hand_Dyad2_Soc_NA_NA_Con_.avi"	"Social Interaction"	3781.25	0.577686960507219	9	"1"	"F"	2	3
"Lean_Dyad1_Soc_NA_NA_Con_.avi"	"Social Interaction"	1674.1	0.366508308338989	13	"1"	"F"	2	4
"Hand_Dyad4_NA_Con_Soc_NA_.avi"	"Social Interaction"	6117.15	0.748453759612385	17	"1"	"F"	2	5
"Lean_Dyad4_Con_NA_NA_Soc_.avi"	"Social Interaction"	4235.5	0.772697005354423	21	"1"	"F"	2	6
"Clap_Dyad3_Soc_NA_NA_Con_.avi"	"Social Interaction"	0	0	25	"1"	"F"	2	7
"Hand_Dyad1_Con_NA_NA_Soc_.avi"	"Social Interaction"	2003.15	0.63050628727908	29	"1"	"F"	2	8
"Clap_Dyad2_Con_NA_NA_Soc_.avi"	"Social Interaction"	6019.8	0.880989316552027	33	"1"	"F"	2	9
"Lean_Dyad3_NA_Con_Soc_NA_.avi"	"Social Interaction"	2647.05	0.544576454250887	37	"1"	"F"	2	10
"Clap_Dyad4_NA_Soc_Con_NA_.avi"	"Social Interaction"	3374.3	0.385991603655956	41	"1"	"F"	2	11
