ID	AgeGroup	Sex	RelFixSocialMean	RelFixControlMean	RelFixCountSocialMean	RelFixCountControlMean	RelFixTimeDiff	RelSocialTrials	TrialsNoData.count
1	2	F	0.41719375025164	0.4856718747903	0.547725422725423	0.452274577274577	0.0286562504194002	0.2	0
2	1	F	0.46163046799827	0.640987305000721	0.367513368983957	0.632486631016043	-0.281974610001442	0.4	0
3	2	M	0.585153399336184	0.414846600663816	0.529346358150706	0.387320308515961	0.156114565449672	0.727272727272727	1
4	2	F	0.526062037611308	0.47828163532391	0.533366925590475	0.466633074409525	0.0434367293521803	0.6	0
5	2	M	0.576377268959367	0.436352275867194	0.536398453432487	0.463601546567513	0.127295448265611	0.6	0
6	2	M	0.742327425891842	0.419224191369386	0.553376906318083	0.446623093681917	0.161551617261228	1	0
7	2	M	0.660614492411533	0.577958366395806	0.393849206349206	0.52281746031746	-0.142923671725645	1	1
8	2	M	0.435536983934121	0.470385846721566	0.489978274410679	0.510021725589321	0.0592283065568685	0.6	0
9	2	M	0.407388260822321	0.481486268127753	0.53493265993266	0.46506734006734	0.0370274637444937	0.333333333333333	0
10	2	F	0.541130663165399	0.420630225431718	0.514563627383321	0.48543637261668	0.158739549136565	0.636363636363636	0
11	2	F	0.341711308842372	0.552762897052543	0.451388888888889	0.548611111111111	-0.105525794105086	0	0
12	2	F	0.560160494820342	0.329879628884743	0.632476551226551	0.367523448773449	0.340240742230513	0.555555555555556	0
13	2	M	0.454412085980874	0.492524268847678	0.521254456327986	0.478745543672014	0.0149514623046444	0.555555555555556	0
14	2	M	0.526135527861203	0.394887060115664	0.574647872838662	0.425352127161338	0.210225879768672	0.4	0
15	2	F	0.508220532473747	0.704908111469272	0.285771221532091	0.714228778467909	-0.409816222938544	0.4	0
16	2	F	0.518947090605006	0.53061419714708	0.475035612535613	0.524964387464387	-0.06122839429416	0.428571428571429	0
17	1	M	0.537848226635155	0.570717257788282	0.439613526570048	0.560386473429952	-0.141434515576563	0.75	0
18	1	F	0.532687529471899	0.511703097984093	0.518294049263729	0.481705950736271	-0.0234061959681856	0.454545454545455	0
19	1	M	0.503755744289587	0.496244255710413	0.559346078303052	0.440653921696948	0.0075114885791745	0.5	0
20	1	M	0.650879361938652	0.395466932525562	0.619517543859649	0.380482456140351	0.209066134948877	0.6	0
21	2	F	0.574076731444886	0.414139964666426	0.533953779278857	0.38271288738781	0.15741006477822	0.666666666666667	1
22	2	M	0.681113145078804	0.439628951640399	0.526411636609005	0.473588363390995	0.120742096719203	0.75	0
23	2	F	0.422765871248128	0.496673161137385	0.476939504996781	0.439727161669886	0.00609920458146166	0.5	1
24	2	M	0.271881123782057	0.409372958739314	0.613042186571598	0.386957813428402	0.181254082521371	0	0
25	1	M	0.563380579091472	0.541079613939018	0.458369656024118	0.541630343975882	-0.082159227878037	0.5	0
26	1	F	0.488340031479018	0.511659968520982	0.464915726974551	0.535084273025449	-0.0233199370419648	0.5	0
27	1	F	0.395649524208457	0.511463895886296	0.50552796410962	0.411138702557046	-0.0210171424582094	0.333333333333333	1
28	1	M	0.541738490743058	0.593696131942706	0.432366734572617	0.567633265427383	-0.187392263885413	0.555555555555556	0
29	1	M	0.512778073812621	0.487221926187379	0.497681861796564	0.502318138203436	0.025556147625242	0.5	0
30	1	F	0.46314291931378	0.479833297066961	0.518626743626744	0.481373256373256	0.0403334058660771	0.142857142857143	0
31	1	M	0.363217491005967	0.47484055755423	0.39047619047619	0.35952380952381	0.0377391636686557	0	3
32	1	M	0.49481139007101	0.458318989039266	0.499906629318394	0.416760037348273	0.0764151867613465	0.375	1
33	1	F	0.550476713680455	0.345555250353068	0.597519841269841	0.402480158730159	0.308889499293864	0.428571428571429	0
34	1	M	0.686926179781644	0.328268455054589	0.660327635327635	0.339672364672365	0.343463089890822	0.666666666666667	0
35	1	F	0.591380647107913	0.439079568594725	0.560993951943272	0.439006048056728	0.121840862810551	0.75	0
36	1	F	0.377373158453486	0.613198990902133	0.380967137045512	0.619032862954488	-0.226397981804267	0.142857142857143	0
37	1	F	0.454658984724051	0.583229264002953	0.399054649054649	0.600945350945351	-0.166458528005906	0.545454545454545	0
38	1	M	0.499294392266924	0.542195872466473	0.452910052910053	0.547089947089947	-0.0843917449329468	0.555555555555556	0
39	1	F	0.622511224958453	0.334992516694364	0.608502316397053	0.391497683602947	0.330014966611271	0.625	0
40	2	F	0.582954662528642	0.396117336436852	0.604162210338681	0.395837789661319	0.207765327126296	0.666666666666667	0
