ID;Age;Sex;behav0;behav1;behav2;behav3;behav4;SummeTotal;SummeOhne1;Score1;Score 2;Score 3;Score 4;0_before;1_before;2_before;3_before;4_before;SummeTotal_before;SummeOhne1_before;Score1_before;Score 2_before;Score 3_before;Score 4_before;0_after;1_after;2_after;3_after;4_after;SummeTotal_after;SummeOhne1_after;Score1_after;Score 2_after;Score 3_after;Score 4_after;OverallScore;OverallScore_before;OverallScore_after
1;2;1;36;18;0;2;4;24;6;0,75;0;0,083333333;0,166666667;17;1;0;0;0;1;0;1;0;0;0;19;17;0;2;4;23;6;0,739130435;0;0,086956522;0,173913043;0,25;0;0,260869565
2;2;0;22;16;0;8;14;38;22;0,421052632;0;0,210526316;0,368421053;13;0;0;3;2;5;5;0;0;0,6;0,4;9;16;0;5;12;33;17;0,484848485;0;0,151515152;0,363636364;0,578947368;0,5;0,515151515
3;2;1;40;12;0;0;8;20;8;0,6;0;0;0,4;11;3;0;0;4;7;4;0,428571429;0;0;0,571428571;29;9;0;0;4;13;4;0,692307692;0;0;0,307692308;0,4;0,571428571;0,307692308
4;2;1;28;30;0;0;2;32;2;0,9375;0;0;0,0625;12;6;0;0;0;6;0;1;0;0;0;16;24;0;0;2;26;2;0,923076923;0;0;0,076923077;0,0625;0;0,076923077
5;2;1;20;28;1;1;10;40;12;0,7;0,025;0,025;0,25;10;5;1;1;1;8;3;0,625;0,125;0,125;0,125;10;23;0;0;9;32;9;0,71875;0;0;0,28125;0,3;0,375;0,28125
6;2;1;30;23;1;1;5;30;7;0,766666667;0,033333333;0,033333333;0,166666667;16;1;0;0;1;2;1;0,5;0;0;0,5;14;22;1;1;4;28;6;0,785714286;0,035714286;0,035714286;0,142857143;0,233333333;0,5;0,214285714
7;2;1;19;18;2;6;15;41;23;0,43902439;0,048780488;0,146341463;0,365853659;10;1;0;3;4;8;7;0,125;0;0,375;0,5;9;17;2;3;11;33;16;0,515151515;0,060606061;0,090909091;0,333333333;0,56097561;0,875;0,484848485
8;2;1;9;30;1;9;11;51;21;0,588235294;0,019607843;0,176470588;0,215686275;4;5;0;5;4;14;9;0,357142857;0;0,357142857;0,285714286;5;25;1;4;7;37;12;0,675675676;0,027027027;0,108108108;0,189189189;0,411764706;0,642857143;0,324324324
9;2;0;15;27;0;9;9;45;18;0,6;0;0,2;0,2;8;6;0;4;0;10;4;0,6;0;0,4;0;7;21;0;5;9;35;14;0,6;0;0,142857143;0,257142857;0,4;0,4;0,4
10;2;0;43;6;0;5;6;17;11;0,352941176;0;0,294117647;0,352941176;15;2;0;1;0;3;1;0,666666667;0;0,333333333;0;28;4;0;4;6;14;10;0,285714286;0;0,285714286;0,428571429;0,647058824;0,333333333;0,714285714
11;2;0;30;22;0;6;2;30;8;0,733333333;0;0,2;0,066666667;11;6;0;1;0;7;1;0,857142857;0;0,142857143;0;19;16;0;5;2;23;7;0,695652174;0;0,217391304;0,086956522;0,266666667;0,142857143;0,304347826
