ID;Age;Sex;behav0;behav1;behav2;behav3;behav4;SummeTotal;SummeOhne1;Score1;Score 2;Score 3;Score 4;0_before;1_before;2_before;3_before;4_before;SummeTotal_before;SummeOhne1_before;Score1_before;Score 2_before;Score 3_before;Score 4_before;0_after;1_after;2_after;3_after;4_after;SummeTotal_after;SummeOhne1_after;Score1_after;Score 2_after;Score 3_after;Score 4_after;OverallScore;OverallScore_before;OverallScore_after
12;2;0;46;7;0;3;4;14;7;0,5;0;0,214285714;0,285714286;12;2;0;1;3;6;4;0,333333333;0;0,166666667;0,5;34;5;0;2;1;8;3;0,625;0;0,25;0,125;0,5;0,666666667;0,375
13;2;1;26;32;0;1;1;34;2;0,941176471;0;0,029411765;0,029411765;12;5;0;1;0;6;1;0,833333333;0;0,166666667;0;14;27;0;0;1;28;1;0,964285714;0;0;0,035714286;0,058823529;0,166666667;0,035714286
14;2;0;23;15;2;14;6;37;22;0,405405405;0,054054054;0,378378378;0,162162162;9;3;0;5;1;9;6;0,333333333;0;0,555555556;0,111111111;14;12;2;9;5;28;16;0,428571429;0,071428571;0,321428571;0,178571429;0,594594595;0,666666667;0,571428571
15;2;0;25;30;0;3;2;35;5;0,857142857;0;0,085714286;0,057142857;9;6;0;3;0;9;3;0,666666667;0;0,333333333;0;16;24;0;0;2;26;2;0,923076923;0;0;0,076923077;0,142857143;0,333333333;0,076923077
16;1;1;11;49;0;0;0;49;0;1;0;0;0;3;15;0;0;0;15;0;1;0;0;0;8;34;0;0;0;34;0;1;0;0;0;0;0;0
17;1;1;35;12;0;7;6;25;13;0,48;0;0,28;0,24;10;4;0;2;2;8;4;0,5;0;0,25;0,25;25;8;0;5;4;17;9;0,470588235;0;0,294117647;0,235294118;0,52;0,5;0,529411765
18;1;0;52;6;0;0;2;8;2;0,75;0;0;0,25;17;0;0;0;1;1;1;0;0;0;1;35;6;0;0;1;7;1;0,857142857;0;0;0,142857143;0,25;1;0,142857143
19;1;1;27;21;0;4;8;33;12;0,636363636;0;0,121212121;0,242424242;10;5;0;0;3;8;3;0,625;0;0;0,375;17;16;0;4;5;25;9;0,64;0;0,16;0,2;0,363636364;0,375;0,36
20;1;1;22;34;0;3;1;38;4;0,894736842;0;0,078947368;0,026315789;9;5;0;3;1;9;4;0,555555556;0;0,333333333;0,111111111;13;29;0;0;0;29;0;1;0;0;0;0,105263158;0,444444444;0
21;2;0;31;25;0;2;2;29;4;0,862068966;0;0,068965517;0,068965517;10;5;0;1;2;8;3;0,625;0;0,125;0,25;21;20;0;1;0;21;1;0,952380952;0;0,047619048;0;0,137931034;0,375;0,047619048
22;2;1;37;14;0;7;2;23;9;0,608695652;0;0,304347826;0,086956522;11;5;0;2;0;7;2;0,714285714;0;0,285714286;0;26;9;0;5;2;16;7;0,5625;0;0,3125;0,125;0,391304348;0,285714286;0,4375
23;2;0;39;11;0;2;8;21;10;0,523809524;0;0,095238095;0,380952381;10;6;0;1;1;8;2;0,75;0;0,125;0,125;29;5;0;1;7;13;8;0,384615385;0;0,076923077;0,538461538;0,476190476;0,25;0,615384615
24;2;1;24;26;0;9;1;36;10;0,722222222;0;0,25;0,027777778;11;6;0;0;1;7;1;0,857142857;0;0;0,142857143;13;20;0;9;0;29;9;0,689655172;0;0,310344828;0;0,277777778;0,142857143;0,310344828
25;1;0;35;18;0;1;6;25;7;0,72;0;0,04;0,24;12;4;0;0;2;6;2;0,666666667;0;0;0,333333333;23;14;0;1;4;19;5;0,736842105;0;0,052631579;0,210526316;0,28;0,333333333;0,263157895
26;1;0;18;34;0;7;1;42;8;0,80952381;0;0,166666667;0,023809524;2;13;0;2;1;16;3;0,8125;0;0,125;0,0625;16;21;0;5;0;26;5;0,807692308;0;0,192307692;0;0,19047619;0,1875;0,192307692
27;1;0;38;17;0;2;3;22;5;0,772727273;0;0,090909091;0,136363636;16;2;0;0;0;2;0;1;0;0;0;22;15;0;2;3;20;5;0,75;0;0,1;0,15;0,227272727;0;0,25
28;1;1;26;9;0;7;18;34;25;0,264705882;0;0,205882353;0,529411765;11;1;0;1;5;7;6;0,142857143;0;0,142857143;0,714285714;15;8;0;6;13;27;19;0,296296296;0;0,222222222;0,481481481;0,735294118;0,857142857;0,703703704
29;1;1;43;17;0;0;0;17;0;1;0;0;0;16;2;0;0;0;2;0;1;0;0;0;27;15;0;0;0;15;0;1;0;0;0;0;0;0
30;1;0;20;36;0;4;0;40;4;0,9;0;0,1;0;11;3;0;4;0;7;4;0,428571429;0;0,571428571;0;9;33;0;0;0;33;0;1;0;0;0;0,1;0,01;0
31;1;1;36;19;0;3;2;24;5;0,791666667;0;0,125;0,083333333;12;3;0;2;1;6;3;0,5;0;0,333333333;0,166666667;24;16;0;1;1;18;2;0,888888889;0;0,055555556;0,055555556;0,208333333;0,5;0,111111111
32;1;0;29;29;0;0;2;31;2;0,935483871;0;0;0,064516129;14;3;0;0;1;4;1;0,75;0;0;0,25;15;26;0;0;1;27;1;0,962962963;0;0;0,037037037;0,064516129;0,025;0,037037037
33;1;0;28;20;0;7;5;32;12;0,625;0;0,21875;0,15625;13;3;0;0;2;5;2;0,6;0;0;0,4;15;17;0;7;3;27;10;0,62962963;0;0,259259259;0,111111111;0,375;0,4;0,37037037
34;1;1;35;25;0;0;0;25;0;1;0;0;0;17;1;0;0;0;1;0;1;0;0;0;18;24;0;0;0;24;0;1;0;0;0;0;0;0
35;1;1;37;18;0;5;0;23;5;0,782608696;0;0,217391304;0;15;2;0;1;0;3;1;0,666666667;0;0,333333333;0;22;16;0;4;0;20;4;0,8;0;0,2;0;0,217391304;0,333333333;0,2
36;1;0;41;16;0;1;2;19;3;0,842105263;0;0,052631579;0,105263158;16;1;0;0;1;2;1;0,5;0;0;0,5;25;15;0;1;1;17;2;0,882352941;0;0,058823529;0,058823529;0,157894737;0,5;0,117647059
37;1;1;49;9;0;0;2;11;2;0,818181818;0;0;0,181818182;16;2;0;0;0;2;0;1;0;0;0;33;7;0;0;2;9;2;0,777777778;0;0;0,222222222;0,181818182;0;0,222222222
38;1;0;25;13;0;10;12;35;22;0,371428571;0;0,285714286;0,342857143;15;1;0;0;2;3;2;0,333333333;0;0;0,666666667;10;12;0;10;10;32;20;0,375;0;0,3125;0,3125;0,628571429;0,666666667;0,625
39;1;0;21;34;0;1;4;39;5;0,871794872;0;0,025641026;0,102564103;15;3;0;0;0;3;0;1;0;0;0;6;31;0;1;4;36;5;0,861111111;0;0,027777778;0,111111111;0,128205128;0;0,138888889
40;1;0;23;31;0;2;4;37;6;0,837837838;0;0,054054054;0,108108108;13;4;0;1;0;5;1;0,8;0;0,2;0;10;27;0;1;4;32;5;0,84375;0;0,03125;0,125;0,162162162;0,2;0,15625
41;1;1;22;25;0;3;10;38;13;0,657894737;0;0,078947368;0,263157895;14;2;0;1;1;4;2;0,5;0;0,25;0,25;8;23;0;2;9;34;11;0,676470588;0;0,058823529;0,264705882;0,342105263;0,33;0,323529412
42;1;0;30;24;0;3;3;30;6;0,8;0;0,1;0,1;11;3;0;1;3;7;4;0,428571429;0;0,142857143;0,428571429;19;21;0;2;0;23;2;0,913043478;0;0,086956522;0;0,2;0,057142857;0,086956522
43;1;0;36;17;0;7;0;24;7;0,708333333;0;0,291666667;0;10;5;0;3;0;8;3;0,625;0;0,375;0;26;12;0;4;0;16;4;0,75;0;0,25;0;0,291666667;0,375;0,25
44;2;0;36;10;0;5;9;24;14;0,416666667;0;0,208333333;0,375;12;0;0;4;2;6;6;0;0;0,666666667;0,333333333;24;10;0;1;7;18;8;0,555555556;0;0,055555556;0,388888889;0,583333333;0,39;0,444444444
45;1;1;45;15;0;0;0;15;0;1;0;0;0;15;3;0;0;0;3;0;1;0;0;0;30;12;0;0;0;12;0;1;0;0;0;0;0;0
46;1;0;55;2;0;2;1;5;3;0,4;0;0,4;0,2;17;0;0;1;0;1;1;0;0;1;0;38;2;0;1;1;4;2;0,5;0;0,25;0,25;0,6;0,45;0,5
47;1;0;19;39;0;2;0;41;2;0,951219512;0;0,048780488;0;14;3;0;1;0;4;1;0,75;0;0,25;0;5;36;0;1;0;37;1;0,972972973;0;0,027027027;0;0,048780488;0,025;0,027027027
